Category,Model,Storage,Model Number,Display,Year,Chipset,Price
Pad,iPad Air 6 11-inch (M2) Wi-Fi,1TB,A2902,"11""",2024,M2,1900
Pad,iPad Air 6 11-inch (M2) Wi-Fi + Cellular,128GB,A2903 / A2904,"11""",2024,M2,1420
Pad,iPad Air 6 11-inch (M2) Wi-Fi + Cellular,256GB,A2903 / A2904,"11""",2024,M2,1550
Pad,iPad Air 6 11-inch (M2) Wi-Fi + Cellular,512GB,A2903 / A2904,"11""",2024,M2,1800
Pad,iPad Air 6 11-inch (M2) Wi-Fi + Cellular,1TB,A2903 / A2904,"11""",2024,M2,2050
Pad,iPad Air 6 13-inch (M2) Wi-Fi,128GB,A2898,"13""",2024,M2,1320
Pad,iPad Air 6 13-inch (M2) Wi-Fi,256GB,A2898,"13""",2024,M2,1500
Pad,iPad Air 6 13-inch (M2) Wi-Fi,512GB,A2898,"13""",2024,M2,1770
Pad,iPad Air 6 13-inch (M2) Wi-Fi,1TB,A2898,"13""",2024,M2,2080
Pad,iPad Air 6 13-inch (M2) WiFi + Cellular,128GB,A2899 / A2900,"13""",2024,M2,1590
Pad,iPad Air 6 13-inch (M2) WiFi + Cellular,256GB,A2899 / A2900,"13""",2024,M2,1790
Pad,iPad Air 6 13-inch (M2) WiFi + Cellular,512GB,A2899 / A2900,"13""",2024,M2,2080
Pad,iPad Air 6 13-inch (M2) WiFi + Cellular,1TB,A2899 / A2900,"13""",2024,M2,2300
Pad,iPad Air 7 11-inch (M3) Wi-Fi,128GB,A3266,"11""",2025,M3,1290
Pad,iPad Air 7 11-inch (M3) Wi-Fi,256GB,A3266,"11""",2025,M3,1490
Pad,iPad Air 7 11-inch (M3) Wi-Fi,512GB,A3266,"11""",2025,M3,1830
Pad,iPad Air 7 11-inch (M3) Wi-Fi,1TB,A3266,"11""",2025,M3,2180
Pad,iPad Air 7 11-inch (M3) Wi-Fi + Cellular,128GB,A3267 / A3270,"11""",2025,M3,1670
Pad,iPad Air 7 11-inch (M3) Wi-Fi + Cellular,256GB,A3267 / A3270,"11""",2025,M3,1860
Pad,iPad Air 7 11-inch (M3) Wi-Fi + Cellular,512GB,A3267 / A3270,"11""",2025,M3,2200
Pad,iPad Air 7 11-inch (M3) Wi-Fi + Cellular,1TB,A3267 / A3270,"11""",2025,M3,2580
Pad,iPad Air 7 13-inch (M3) Wi-Fi,128GB,A3268,"13""",2025,M3,1690
Pad,iPad Air 7 13-inch (M3) Wi-Fi,256GB,A3268,"13""",2025,M3,1880
Pad,iPad Air 7 13-inch (M3) Wi-Fi,512GB,A3268,"13""",2025,M3,2100
Pad,iPad Air 7 13-inch (M3) Wi-Fi,1TB,A3268,"13""",2025,M3,2450
Pad,iPad Air 7 13-inch (M3) WiFi + Cellular,128GB,A3269 / A3271,"13""",2025,M3,1930
Pad,iPad Air 7 13-inch (M3) WiFi + Cellular,256GB,A3269 / A3271,"13""",2025,M3,2150
Pad,iPad Air 7 13-inch (M3) WiFi + Cellular,512GB,A3269 / A3271,"13""",2025,M3,2400
Pad,iPad Air 7 13-inch (M3) WiFi + Cellular,1TB,A3269 / A3271,"13""",2025,M3,2700
Pad,iPad Air 8 11-inch (M4) Wi-Fi,128GB,A3459,"11""",2026,M4,2050
Pad,iPad Air 8 11-inch (M4) Wi-Fi,256GB,A3459,"11""",2026,M4,2390
Pad,iPad Air 8 11-inch (M4) Wi-Fi,512GB,A3459,"11""",2026,M4,2790
Pad,iPad Air 8 11-inch (M4) Wi-Fi,1TB,A3459,"11""",2026,M4,3610
Pad,iPad Air 8 11-inch (M4) Wi-Fi + Cellular,128GB,A3460 / A3463,"11""",2026,M4,2470
Pad,iPad Air 8 11-inch (M4) Wi-Fi + Cellular,256GB,A3460 / A3463,"11""",2026,M4,2710
Pad,iPad Air 8 11-inch (M4) Wi-Fi + Cellular,512GB,A3460 / A3463,"11""",2026,M4,3250
Pad,iPad Air 8 11-inch (M4) Wi-Fi + Cellular,1TB,A3460 / A3463,"11""",2026,M4,4030
Pad,iPad Air 8 13-inch (M4) Wi-Fi,128GB,A3461,"13""",2026,M4,2590
Pad,iPad Air 8 13-inch (M4) Wi-Fi,256GB,A3461,"13""",2026,M4,2830
Pad,iPad Air 8 13-inch (M4) Wi-Fi,512GB,A3461,"13""",2026,M4,3370
Pad,iPad Air 8 13-inch (M4) Wi-Fi,1TB,A3461,"13""",2026,M4,4150
