Provider,Device,Sub-device,Standardized Model,MSRP,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
CompAsia,iPhone,Plus,iPhone 15 Plus,4499.0,,256.0,Unknown,Unknown,,1775.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 15 Plus (eSIM),3999.0,,128.0,Unknown,Unknown,,1295.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 15 Plus (eSIM),4499.0,,256.0,Unknown,Unknown,,1440.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 15 Plus (eSIM),5499.0,,512.0,Unknown,Unknown,,1640.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 15 Pro,4999.0,,128.0,Unknown,Unknown,,1725.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 15 Pro,7499.0,,1024.0,Unknown,Unknown,,2350.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 15 Pro,5499.0,,256.0,Unknown,Unknown,,2000.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 15 Pro,6499.0,,512.0,Unknown,Unknown,,2125.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 15 Pro (eSIM),4999.0,,128.0,Unknown,Unknown,,1535.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 15 Pro (eSIM),7499.0,,1024.0,Unknown,Unknown,,2050.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 15 Pro (eSIM),5499.0,,256.0,Unknown,Unknown,,1665.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 15 Pro (eSIM),6499.0,,512.0,Unknown,Unknown,,1830.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 15 Pro Max,7999.0,,1024.0,Unknown,Unknown,,2650.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 15 Pro Max,5999.0,,256.0,Unknown,Unknown,,2200.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 15 Pro Max,6999.0,,512.0,Unknown,Unknown,,2425.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 15 Pro Max (eSIM),7999.0,,1024.0,Unknown,Unknown,,2340.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 15 Pro Max (eSIM),5999.0,,256.0,Unknown,Unknown,,1830.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 15 Pro Max (eSIM),6999.0,,512.0,Unknown,Unknown,,2090.0,2023,A17 Pro,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16,3499.0,,128.0,Unknown,Unknown,,1800.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16,3999.0,,256.0,Unknown,Unknown,,2075.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16,4999.0,,512.0,Unknown,Unknown,,2430.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16e,2999.0,,128.0,Unknown,Unknown,,1125.0,2025,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16e,3499.0,,256.0,Unknown,Unknown,,1275.0,2025,A18,,,,,,,Unknown
