Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
Switch,Mac,MacBook Pro,MacBook Pro i7 2.2GHz 15-inch (Mid 2018),,1 TB,SSD,,,960,2018,Intel Core i7,15.0,,,"16, 32",16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.2GHz 15-inch (Mid 2018),,2 TB,SSD,,,1110,2018,Intel Core i7,15.0,,,"16, 32",16.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.2GHz 15-inch (Mid 2018),,4 TB,SSD,,,1210,2018,Intel Core i7,15.0,,,"16, 32",16.0,4 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.3GHz 13-inch (Mid 2020),,512 GB,SSD,,,780,2020,Intel Core i7,13.0,,,"16, 32",16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.3GHz 13-inch (Mid 2020),,1 TB,SSD,,,880,2020,Intel Core i7,13.0,,,"16, 32",16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.3GHz 13-inch (Mid 2020),,2 TB,SSD,,,960,2020,Intel Core i7,13.0,,,"16, 32",16.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.3GHz 13-inch (Mid 2020),,4 TB,SSD,,,1100,2020,Intel Core i7,13.0,,,"16, 32",16.0,4 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.4GHz 13-inch (Late 2016),,256 GB,SSD,,,360,2016,Intel Core i7,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.4GHz 13-inch (Late 2016),,512 GB,SSD,,,400,2016,Intel Core i7,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.4GHz 13-inch (Late 2016),,1 TB,SSD,,,450,2016,Intel Core i7,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.5GHz 13-inch (Mid 2017),,128 GB,SSD,,,360,2017,Intel Core i7,13.0,,,"8, 16",8.0,128 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.5GHz 13-inch (Mid 2017),,256 GB,SSD,,,500,2017,Intel Core i7,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.5GHz 13-inch (Mid 2017),,512 GB,SSD,,,550,2017,Intel Core i7,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.5GHz 13-inch (Mid 2017),,1 TB,SSD,,,600,2017,Intel Core i7,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.5GHz 15-inch (Mid 2015),,256 GB,SSD,,,200,2015,Intel Core i7,15.0,,,16,16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.5GHz 15-inch (Mid 2015),,512 GB,SSD,,,240,2015,Intel Core i7,15.0,,,16,16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.5GHz 15-inch (Mid 2015),,1 TB,SSD,,,250,2015,Intel Core i7,15.0,,,16,16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Late 2016),,256 GB,SSD,,,600,2016,Intel Core i7,15.0,,,16,16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Late 2016),,512 GB,SSD,,,700,2016,Intel Core i7,15.0,,,16,16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Late 2016),,1 TB,SSD,,,770,2016,Intel Core i7,15.0,,,16,16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Late 2016),,2 TB,SSD,,,820,2016,Intel Core i7,15.0,,,16,16.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2018),,256 GB,SSD,,,800,2018,Intel Core i7,15.0,,,"16, 32",16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2018),,512 GB,SSD,,,900,2018,Intel Core i7,15.0,,,"16, 32",16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2018),,1 TB,SSD,,,950,2018,Intel Core i7,15.0,,,"16, 32",16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2018),,2 TB,SSD,,,1050,2018,Intel Core i7,15.0,,,"16, 32",16.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2018),,4 TB,SSD,,,1150,2018,Intel Core i7,15.0,,,"16, 32",16.0,4 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2019),,256 GB,SSD,,,1030,2019,Intel Core i7,15.0,,,"16, 32",16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2019),,512 GB,SSD,,,1070,2019,Intel Core i7,15.0,,,"16, 32",16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2019),,1 TB,SSD,,,1150,2019,Intel Core i7,15.0,,,"16, 32",16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2019),,2 TB,SSD,,,1270,2019,Intel Core i7,15.0,,,"16, 32",16.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 15-inch (Mid 2019),,4 TB,SSD,,,1370,2019,Intel Core i7,15.0,,,"16, 32",16.0,4 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 16-inch (Late 2019),,512 GB,SSD,,,1100,2019,Intel Core i7,16.0,,,"16, 32, 64",16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 16-inch (Late 2019),,1 TB,SSD,,,1190,2019,Intel Core i7,16.0,,,"16, 32, 64",16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 16-inch (Late 2019),,2 TB,SSD,,,1290,2019,Intel Core i7,16.0,,,"16, 32, 64",16.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 16-inch (Late 2019),,4 TB,SSD,,,1380,2019,Intel Core i7,16.0,,,"16, 32, 64",16.0,4 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.6GHz 16-inch (Late 2019),,8 TB,SSD,,,1500,2019,Intel Core i7,16.0,,,"16, 32, 64",16.0,8 TB,
