Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM)
iTworld,iPhone,iPhone,iPhone 12,,64 GB,,,,460
iTworld,iPhone,iPhone,iPhone 12,,128 GB,,,,510
iTworld,iPhone,iPhone,iPhone 12,,256 GB,,,,590
iTworld,iPhone,iPhone,iPhone 12 Mini,,64 GB,,,,300
iTworld,iPhone,iPhone,iPhone 12 Mini,,128 GB,,,,400
iTworld,iPhone,iPhone,iPhone 12 Mini,,256 GB,,,,450
iTworld,iPhone,iPhone,iPhone 12 Pro,,128 GB,,,,640
iTworld,iPhone,iPhone,iPhone 12 Pro,,256 GB,,,,710
iTworld,iPhone,iPhone,iPhone 12 Pro,,512 GB,,,,760
iTworld,iPhone,iPhone,iPhone 12 Pro Max,,128 GB,,,,810
iTworld,iPhone,iPhone,iPhone 12 Pro Max,,256 GB,,,,910
iTworld,iPhone,iPhone,iPhone 12 Pro Max,,512 GB,,,,990
iTworld,iPhone,iPhone,iPhone 13,,128 GB,,,,750
iTworld,iPhone,iPhone,iPhone 13,,256 GB,,,,850
iTworld,iPhone,iPhone,iPhone 13,,512 GB,,,,910
iTworld,iPhone,iPhone,iPhone 13 Mini,,128 GB,,,,500
iTworld,iPhone,iPhone,iPhone 13 Mini,,256 GB,,,,550
iTworld,iPhone,iPhone,iPhone 13 Mini,,512 GB,,,,600
iTworld,iPhone,iPhone,iPhone 13 Pro,,128 GB,,,,990
iTworld,iPhone,iPhone,iPhone 13 Pro,,256 GB,,,,1060
iTworld,iPhone,iPhone,iPhone 13 Pro,,512 GB,,,,1150
iTworld,iPhone,iPhone,iPhone 13 Pro,,1 TB,,,,1260
iTworld,iPhone,iPhone,iPhone 13 Pro Max,,128 GB,,,,1110
iTworld,iPhone,iPhone,iPhone 13 Pro Max,,256 GB,,,,1290
iTworld,iPhone,iPhone,iPhone 13 Pro Max,,512 GB,,,,1340
iTworld,iPhone,iPhone,iPhone 13 Pro Max,,1 TB,,,,1460
iTworld,iPhone,iPhone,iPhone 14,,128 GB,,,,850
iTworld,iPhone,iPhone,iPhone 14,,256 GB,,,,950
iTworld,iPhone,iPhone,iPhone 14,,512 GB,,,,1110
iTworld,iPhone,iPhone,iPhone 14 Plus,,128 GB,,,,950
iTworld,iPhone,iPhone,iPhone 14 Plus,,256 GB,,,,1050
iTworld,iPhone,iPhone,iPhone 14 Plus,,512 GB,,,,1240
iTworld,iPhone,iPhone,iPhone 14 Pro,,128 GB,,,,1340
iTworld,iPhone,iPhone,iPhone 14 Pro,,256 GB,,,,1540
iTworld,iPhone,iPhone,iPhone 14 Pro,,512 GB,,,,1610
iTworld,iPhone,iPhone,iPhone 14 Pro,,1 TB,,,,1690
iTworld,iPhone,iPhone,iPhone 14 Pro Max,,128 GB,,,,1590
iTworld,iPhone,iPhone,iPhone 14 Pro Max,,256 GB,,,,1710
iTworld,iPhone,iPhone,iPhone 14 Pro Max,,512 GB,,,,1850
