Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,Mac,MacBook Air M3 8-Core CPU and 10-Core GPU 13.6 inch (Early 2024),2TB SSD,3125,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M3 8-Core CPU and 10-Core GPU 13.6 inch (Early 2024),512GB SSD,2125,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M3 8-Core CPU and 10-Core GPU 15 inch (Early 2024),1TB SSD,3075,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M3 8-Core CPU and 10-Core GPU 15 inch (Early 2024),256GB SSD,2275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M3 8-Core CPU and 10-Core GPU 15 inch (Early 2024),2TB SSD,3475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M3 8-Core CPU and 10-Core GPU 15 inch (Early 2024),512GB SSD,2500,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M3 8-Core CPU and 8-Core GPU 13.6 inch (Early 2024),256GB SSD,1950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M4 10-Core CPU and 10-Core GPU 13 inch (Early 2025),1TB SSD,3125,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M4 10-Core CPU and 10-Core GPU 13 inch (Early 2025),256GB SSD,2450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M4 10-Core CPU and 10-Core GPU 13 inch (Early 2025),2TB SSD,4000,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M4 10-Core CPU and 10-Core GPU 13 inch (Early 2025),512GB SSD,2675,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M4 10-Core CPU and 10-Core GPU 15 inch (Early 2025),1TB SSD,3600,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M4 10-Core CPU and 10-Core GPU 15 inch (Early 2025),256GB SSD,2750,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M4 10-Core CPU and 10-Core GPU 15 inch (Early 2025),2TB SSD,4400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M4 10-Core CPU and 10-Core GPU 15 inch (Early 2025),512GB SSD,2975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M4 10-Core CPU and 8-Core GPU 13 inch (Early 2025),256GB SSD,2250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,Macbook i5 1.3GHz 12 inch (Mid 2017),256GB SSD,275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,Macbook i5 1.3GHz 12 inch (Mid 2017),512GB SSD,375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,Macbook i7 1.4GHz 12 inch (Mid 2017),256GB SSD,325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,Macbook i7 1.4GHz 12 inch (Mid 2017),512GB SSD,425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,Macbook m3 1.2GHz 12 inch (Mid 2017),256GB SSD,275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Max 10-Core CPU & 24-Core GPU (2021),1TB SSD,2725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Max 10-Core CPU & 24-Core GPU (2021),2TB SSD,2775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Max 10-Core CPU & 24-Core GPU (2021),4TB SSD,3550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Max 10-Core CPU & 24-Core GPU (2021),512GB SSD,2525,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Max 10-Core CPU & 24-Core GPU (2021),8TB SSD,4175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Max 10-Core CPU & 32-Core GPU (2021),1TB SSD,2875,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Max 10-Core CPU & 32-Core GPU (2021),2TB SSD,3250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Max 10-Core CPU & 32-Core GPU (2021),4TB SSD,3725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,"MacBook Pro 14 inch M1 Max 10-Core CPU, 32-Core GPU (2021)",512GB SSD,2725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Max 10-Core CPU & 32-Core GPU (2021),8TB SSD,4325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Pro 10-Core CPU & 14-Core GPU (2021),1TB SSD,2150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Pro 10-Core CPU & 14-Core GPU (2021),2TB SSD,2375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Pro 10-Core CPU & 14-Core GPU (2021),4TB SSD,2850,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Pro 10-Core CPU & 14-Core GPU (2021),512GB SSD,1950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Pro 14 inch M1 Pro 10-Core CPU & 14-Core GPU (2021),8TB SSD,3600,https://compasia.my/pages/trade-in
