Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","2TB, Wi-Fi",1900,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/128GB, Wi-Fi",1175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/256GB, Wi-Fi",1325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/512GB, Wi-Fi",1525,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","1TB, Cellular",1750,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","2TB, Cellular",2025,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/128GB, Cellular",1350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/256GB, Cellular",1475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/512GB, Cellular",1650,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","1TB, Wi-Fi",2625,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","2TB, Wi-Fi",3150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","8GB/256GB, Wi-Fi",1750,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","8GB/512GB, Wi-Fi",2125,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen))","1TB, Cellular",2900,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen))","2TB, Cellular",3450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen))","8GB/256GB, Cellular",2050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen))","8GB/512GB, Cellular",2375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"256GB, Wi-Fi",2550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"512GB, Wi-Fi",3100,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"1TB, Wi-Fi",3950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"2TB, Wi-Fi",4950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"256GB, Cellular",3100,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"512GB, Cellular",3575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"1TB, Cellular",4425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"2TB, Cellular",5425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","1TB, Wi-Fi",1825,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","2TB, Wi-Fi",2025,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","8GB/128GB, Wi-Fi",1400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","8GB/256GB, Wi-Fi",1500,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","8GB/512GB, Wi-Fi",1625,https://compasia.my/pages/trade-in
