Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","2TB, Cellular",3450,"iPad Pro 11-inch (2024, 5th Gen)",2024.0,iPad,iPad Pro,5.0,2024,11.0,,,,2048.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","8GB/256GB, Cellular",2050,"iPad Pro 11-inch (2024, 5th Gen)",2024.0,iPad,iPad Pro,5.0,2024,11.0,,,8.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","8GB/512GB, Cellular",2375,"iPad Pro 11-inch (2024, 5th Gen)",2024.0,iPad,iPad Pro,5.0,2024,11.0,,,8.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"256GB, Wi-Fi",2550,iPad Pro 11-inch M5 (2025),2025.0,iPad,iPad Pro,,2025,11.0,,,,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"512GB, Wi-Fi",3100,iPad Pro 11-inch M5 (2025),2025.0,iPad,iPad Pro,,2025,11.0,,,,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"1TB, Wi-Fi",3950,iPad Pro 11-inch M5 (2025),2025.0,iPad,iPad Pro,,2025,11.0,,,,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"2TB, Wi-Fi",4950,iPad Pro 11-inch M5 (2025),2025.0,iPad,iPad Pro,,2025,11.0,,,,2048.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"256GB, Cellular",3100,iPad Pro 11-inch M5 (2025),2025.0,iPad,iPad Pro,,2025,11.0,,,,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"512GB, Cellular",3575,iPad Pro 11-inch M5 (2025),2025.0,iPad,iPad Pro,,2025,11.0,,,,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"1TB, Cellular",4425,iPad Pro 11-inch M5 (2025),2025.0,iPad,iPad Pro,,2025,11.0,,,,1024.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Pro 11-inch M5 (2025),"2TB, Cellular",5425,iPad Pro 11-inch M5 (2025),2025.0,iPad,iPad Pro,,2025,11.0,,,,2048.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","1TB, Wi-Fi",1825,"iPad Pro 12.9-inch (2022, 6th Gen)",2022.0,iPad,iPad Pro,6.0,2022,12.9,,,,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","2TB, Wi-Fi",2025,"iPad Pro 12.9-inch (2022, 6th Gen)",2022.0,iPad,iPad Pro,6.0,2022,12.9,,,,2048.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","8GB/128GB, Wi-Fi",1400,"iPad Pro 12.9-inch (2022, 6th Gen)",2022.0,iPad,iPad Pro,6.0,2022,12.9,,,8.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","8GB/256GB, Wi-Fi",1500,"iPad Pro 12.9-inch (2022, 6th Gen)",2022.0,iPad,iPad Pro,6.0,2022,12.9,,,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","8GB/512GB, Wi-Fi",1625,"iPad Pro 12.9-inch (2022, 6th Gen)",2022.0,iPad,iPad Pro,6.0,2022,12.9,,,8.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","1TB, Cellular",1875,"iPad Pro 12.9-inch (2022, 6th Gen)",2022.0,iPad,iPad Pro,6.0,2022,12.9,,,,1024.0,,Cellular,
