Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro Max,512GB,3835,iPhone 17 Pro Max,2025.0,iPhone,iPhone 17 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 8 Plus,128GB,150,iPhone 8 Plus,2017.0,iPhone,iPhone 8 Plus,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 8 Plus,256GB,180,iPhone 8 Plus,2017.0,iPhone,iPhone 8 Plus,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 8 Plus,64GB,120,iPhone 8 Plus,2017.0,iPhone,iPhone 8 Plus,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Air,1TB,3445,iPhone Air,2025.0,iPhone,iPhone Air,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Air,256GB,2490,iPhone Air,2025.0,iPhone,iPhone Air,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Air,512GB,2965,iPhone Air,2025.0,iPhone,iPhone Air,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone SE (2020),128GB,175,iPhone SE (2020),2020.0,iPhone,iPhone SE,,2020,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone SE (2020),256GB,200,iPhone SE (2020),2020.0,iPhone,iPhone SE,,2020,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone SE (2020),64GB,125,iPhone SE (2020),2020.0,iPhone,iPhone SE,,2020,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone SE,"5G, 128GB",325,iPhone SE,2016.0,iPhone,iPhone SE,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone SE,"5G, 256GB",350,iPhone SE,2016.0,iPhone,iPhone SE,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone SE,"5G, 64GB",275,iPhone SE,2016.0,iPhone,iPhone SE,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone X/10,256GB,185,iPhone X/10,2017.0,iPhone,iPhone,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone X/10,64GB,130,iPhone X/10,2017.0,iPhone,iPhone,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Xr,128GB,220,iPhone Xr,2018.0,iPhone,iPhone Xr,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Xr,256GB,270,iPhone Xr,2018.0,iPhone,iPhone Xr,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Xr,64GB,155,iPhone Xr,2018.0,iPhone,iPhone Xr,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Xs,256GB,255,iPhone Xs,2018.0,iPhone,iPhone Xs,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Xs,512GB,305,iPhone Xs,2018.0,iPhone,iPhone Xs,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Xs,64GB,205,iPhone Xs,2018.0,iPhone,iPhone Xs,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Xs Max,256GB,365,iPhone Xs Max,2018.0,iPhone,iPhone Xs Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Xs Max,512GB,390,iPhone Xs Max,2018.0,iPhone,iPhone Xs Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone Xs Max,64GB,285,iPhone Xs Max,2018.0,iPhone,iPhone Xs Max,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 11,64GB,300,iPhone 11,2019.0,iPhone,iPhone 11,,,,,,,64.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 11,128GB,350,iPhone 11,2019.0,iPhone,iPhone 11,,,,,,,128.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 11,256GB,460,iPhone 11,2019.0,iPhone,iPhone 11,,,,,,,256.0,,,
,Retailer Trade-in,iTworld,iPhone,iPhone 11 Pro,64GB,400,iPhone 11 Pro,2019.0,iPhone,iPhone 11 Pro,,,,,,,64.0,,,
